Name, Operon, Challenge, WT
dicC,dicC-ydfXW,0,29.28
dicF,dicF,0,255.23
dinB,dinB-yafNOP,20.11,25.62
dinD,dinD,128.69,180.36
dinF,lexA-dinF,46.16,39.21
dinG,dinG,29.62,40.88
dinI,dinI,241.69,54.99
dinJ,dinJ-yafQ,195.26,77.74
dinQ,dinQ,888.87,1939.91
dipZ,dipZ-yjdC,22.51,35.85
djlA,djlA,15.61,16.58
djlB,ybeR-djlB,29.74,47.36
djlC,ybeU-djlC,29.25,41.92
dkgA,dkgA,128.23,106.19
dkgA,yqhD-dkgA,128.23,106.19
dkgB,dkgB,242.98,496.32
dksA,dksA-yadB,298.02,118.66
dksA,sfsA-dksA,298.02,118.66
dld,dld,116.32,137.95
dmlA,dmlA,66.48,168.15
dmlR,dmlR,45.96,14.64
dmsA,dmsABC,36.48,63.62
dmsB,dmsABC,27.49,32.83
dmsC,dmsABC,127.8,172.22
dmsD,ynfEFGH-dmsD,13.81,43.99
dnaA,dnaAN-recF,69.57,96.35
dnaB,dnaB,146.96,262.71
dnaC,yjjB-dnaTC,40.28,27.49
dnaC,dnaTC-yjjA,40.28,27.49
dnaC,dnaTC,40.28,27.49
dnaC,yjjB-dnaTC-yjjA,40.28,27.49
dnaE,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE,64.62,56.31
dnaG,rpsU-dnaG-rpoD,60.81,65.85
dnaJ,dnaKJ,45.06,23.92
dnaK,dnaKJ,203.81,74.09
dnaN,dnaAN-recF,227.58,319.44
dnaN,dnaN-recF,227.58,319.44
dnaQ,dnaQ,69.62,120.12
dnaT,dnaTC-yjjA,0,75.15
dnaT,dnaTC,0,75.15
dnaT,yjjB-dnaTC-yjjA,0,75.15
dnaT,yjjB-dnaTC,0,75.15
dnaX,dnaX,46.16,28.01
dosC,dosCP,21.5,9.78
dosP,dosCP,24.77,39.45
dosP,dosP,24.77,39.45
dpiA,dpiBA,218.27,446.93
dpiB,dpiBA,20.48,32.61
dppA,dppABCDF,266.75,113.57
dppB,dppABCDF,45.8,53.05
dppC,dppABCDF,28.22,14.98
dppD,dppABCDF,47.47,20.62
dppF,dppABCDF,152.13,255.73
dps,dps,3142.99,268.39
dsbA,rdoA-dsbA,20.32,10.79
dsbA,dsbA,20.32,10.79
dsbB,dsbB,639.82,968.03
