casA,casABCDE12,30.58,49.3
casB,casABCDE12,27.3,28.01
casC,casABCDE12,30.18,142.45
casD,casABCDE12,68.36,90.18
casD,casDE-ygbTF,68.36,90.18
casE,casABCDE12,0,33.82
casE,casDE-ygbTF,0,33.82
cbl,cbl,187.16,384.05
cbpA,cbpAM,28.63,29.37
cbpM,cbpAM,172.34,663.09
cbrA,cbrA,37.14,57.16
cbrB,cbrB,169.03,448.01
cbrB,cbrBC,169.03,448.01
cbrC,cbrBC,11.21,11.5
cbrC,cbrC,11.21,11.5
cbtA,yeeRSTU-cbtA-yeeW,1195.37,1713.41
cca,htrG-cca,63.85,109.18
ccmA,ccmABCDEFGH,0,32.52
ccmA,napFDAGHBC-ccmABCDEFGH,0,32.52
ccmB,ccmABCDEFGH,9.94,20.4
ccmB,napFDAGHBC-ccmABCDEFGH,9.94,20.4
ccmC,ccmABCDEFGH,0,36.66
ccmC,napFDAGHBC-ccmABCDEFGH,0,36.66
ccmD,ccmABCDEFGH,0,0
ccmD,napFDAGHBC-ccmABCDEFGH,0,0
ccmE,ccmABCDEFGH,27.47,42.27
ccmE,napFDAGHBC-ccmABCDEFGH,27.47,42.27
ccmF,ccmABCDEFGH,3.39,13.92
ccmF,napFDAGHBC-ccmABCDEFGH,3.39,13.92
ccmG,ccmABCDEFGH,11.81,24.24
ccmG,napFDAGHBC-ccmABCDEFGH,11.81,24.24
ccmH,napFDAGHBC-ccmABCDEFGH,68.86,109.19
ccmH,ccmH,68.86,109.19
ccmH,ccmABCDEFGH,68.86,109.19
cdaR,cdaR,278.94,303.71
cdd,cdd,67.04,53.5
cdh,cdh,584.22,742.55
cdsA,cdsA,30.73,86.71
cedA,cedA,0,55.67
cfa,cfa,218.02,306.09
chaA,chaA,149.69,227.29
chaB,chaBC,57.07,29.28
chaC,chaC,1307.06,1457.65
chaC,chaBC,1307.06,1457.65
chbA,chbBCARFG,0,38.54
chbB,chbBCARFG,0,0
chbC,chbBCARFG,29.1,34.84
chbF,chbBCARFG,0,10
chbG,chbBCARFG,26.37,36.07
chbG,chbG,26.37,36.07
chbR,chbBCARFG,15.64,8.02
cheA,motAB-cheAW,43.61,37.86
cheB,tar-tap-cheRBYZ,18.83,12.88
cheR,tar-tap-cheRBYZ,7.66,86.41
cheW,motAB-cheAW,39.24,40.26
cheW,cheW,39.24,40.26
cheY,tar-tap-cheRBYZ,0,0
cheZ,tar-tap-cheRBYZ,10.22,0
chiA,chiA,127.24,155.66
chiP,ybfMN,65.59,52.88
cho,cho,37.12,106.63
chpA,mazEFG,235.43,362.33
chpA,relA-mazEF,235.43,362.33
chpB,chpSB,18.78,38.54
chpR,relA-mazEF,158.85,190.14
chpR,mazEFG,158.85,190.14
chpS,chpSB,0,80.52
cirA,cirA,138.99,227.49
citC,citCDEFXG,68.47,159.67
citD,citCDEFXG,66.59,22.77
citE,citCDEFXG,79.77,193.45
citF,citCDEFXG,17.2,26.47
citG,citCDEFXG,67.5,130.81
citT,citT,40.53,55.44
citX,citCDEFXG,131.36,306.32
clcA,clcA,9.27,38.05
clcB,clcB,907.27,887.81
cld,cld,33.6,75.84
clpA,clpA,46.32,65.35
clpB,clpB,40.98,65.69
clpP,clpPX,21.13,108.39
clpS,clpS,41.07,21.07
clpX,clpX-lon,46.53,68.96
clpX,clpPX,46.53,68.96
cls,cls-yciU,58.66,92.59
cmk,cmk-rpsA,115.65,148.32
cmoA,yecN-cmoAB,35.44,90.91
cmoB,yecN-cmoAB,13.56,132.21
cmr,cmr,26.73,0
cmtA,cmtBA-yggPFDC,4.75,0
cmtB,cmtBA-yggPFDC,29.69,15.23
cnu,cnu,30.52,31.31
coaA,coaA,346.59,412.49
coaD,kdtA-coaD,68.67,140.91
coaE,coaE-yacFG,0,65.35
cobB,nagK-cobB,9.04,9.28
cobC,leuS-lptE-holA-nadD-cobC,96.94,110.51
cobC,cobC,96.94,110.51
cobS,cobUST,0,0
cobT,cobUST,18.31,50.1
cobT,cobT,18.31,50.1
cobU,cobUST,0,12.39
codA,codBA,220.76,258.11
codB,codBA,20.93,21.47
cof,cof,177.08,189.94
copA,copA,26.32,21.6
corA,corA,173.29,170.69
cpdA,nudF-yqiB-cpdA-yqiA-parE,23.88,8.17
cpdB,cpdB,149.2,177.44
cpsB,wcaCDEF-gmd-dcI-nudD-wcaI-cspBGJ-wzxC,27.52,32.95
cpsG,wcaCDEF-gmd-dcI-nudD-wcaI-cspBGJ-wzxC,52.89,69.07
cpxA,cpxRA,268.67,196.9
cpxA,cpxA,268.67,196.9
cpxP,cpxP,1052.64,1134
cpxR,cpxRA,18.86,116.11
crcB,crcB,343.34,634.08
creA,creABC,69.54,142.69
creA,creABCD,69.54,142.69
creB,creABCD,28.66,0
creB,creABC,28.66,0
creC,creABC,50.89,166.12
creC,creABCD,50.89,166.12
creD,creABCD,68.21,49.99
creD,creD,68.21,49.99
crl,crl,16.4,33.65
crp,crp,52.07,117.53
crr,ptsHI-crr,90.48,92.83
crr,crr,90.48,92.83
csdA,csdAE,38.26,39.26
csdE,csdAE,207.86,258.96
csdL,csdL,481.95,393.91
csgA,csgBAC,404.78,103.83
csgB,csgBAC,43.37,0
csgC,csgC,39.59,20.31
csgC,csgBAC,39.59,20.31
csgD,csgDEFG,0,31.17
csgE,csgDEFG,0,0
csgF,csgDEFG,0,32.44
csgG,csgG,23.71,81.1
csgG,csgDEFG,23.71,81.1
csiD,csiD-ygaF-gabDTP,6.74,20.75
csiE,csiE,195.55,300.95
csiR,csiR,12736.8,11802.9
cspA,cspA,92.85,95.26
cspB,cspB,0,31.31
cspC,yobF-cspC,156.96,128.83
cspC,cspC,156.96,128.83
cspD,cspD,644.56,811.62
cspE,cspE,31.39,354.28
cspF,cspF,680.88,857.34
cspG,cspG,61.9,63.51
cspH,cspH,216.64,539.81
cspI,cspI,0,0
csrA,csrA,425.3,1054.52
csrB,csrB,16024.8,22288.3
csrD,csrD,71.32,90.6
cstA,cstA,34.43,44.96
cueO,cueO,12.75,30.53
cueR,cueR,1955.02,2188.18
curA,curA,63.51,149.87
cusA,cusCFBA,8.39,30.12
cusB,cusCFBA,21.54,44.21
cusC,cusCFBA,19.19,118.14
cusF,cusCFBA,79.18,20.31
cusR,cusRS,67.46,39.55
cusS,cusRS,137.05,131.24
cutA,cutA,0,59.85
cutC,cutC,35.3,9.05
cvpA,cvpA-purF-ubiX,13.48,27.66
cvrA,cvrA,98.67,124.6
cyaA,cyaA,370.11,382.39
cyaR,cyaR,227.31,155.48
cyaY,cyaY,533.94,589.96
cybB,cybB,62.07,140.11
cybC,cybC,576.36,628.3
cycA,cycA,60.65,43.08
cydA,cydAB,29.41,25.86
cydB,cydAB,40.48,23.73
cydC,cydDC,49.77,43.2
cydC,cydC,49.77,43.2
cydD,cydDC,41.04,53.59
cynR,cynR,43.95,105.21
cynS,cynTSX,14,71.8
